vehicle_id,date,mileage_km,cumulative_mileage_km,engine_hours,load_percentage,route_severity_score,route_severity_label,fault_count,fault_severity_score,operating_stress_index,days_since_last_service,last_service_mileage_km,service_type_last,breakdown_occurred,breakdown_type,data_quality_flag,scenario_tag
VH-001,2024-01-12,48.74,46038.72,9.66,49.75,4.57,Medium,1.0,5.02,6.69,11.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-13,37.91,46076.63,8.52,92.24,5.33,Medium,0.0,0.0,6.34,12.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-14,54.77,46131.39,10.92,80.7,5.24,Medium,2.0,3.32,6.93,13.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-15,32.3,46163.69,13.69,73.75,4.19,Medium,1.0,2.69,4.97,14.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-16,55.28,46218.97,14.19,68.17,6.19,Medium,0.0,0.0,6.56,15.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-17,39.51,46258.48,14.21,37.95,4.09,Medium,1.0,1.81,4.95,16.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-18,48.32,46306.8,12.78,74.59,2.91,Low,2.0,5.5,2.92,17.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-19,51.36,46358.16,12.43,79.4,4.78,Medium,0.0,0.0,4.21,18.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-20,41.81,46399.97,12.26,62.09,6.14,Medium,0.0,0.0,5.06,19.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-21,36.86,46436.83,6.33,-2.464056458187553,1.91,Low,3.0,4.74,5.77,20.0,45508.86,EMERGENCY,0,,INVALID_LOAD,NORMAL
VH-001,2024-01-22,34.95,46471.78,12.6,88.3,4.3,Medium,1.0,3.64,4.42,21.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-23,32.51,46504.29,12.08,47.27,7.94,High,2.0,4.38,5.98,22.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-24,42.73,46547.02,11.86,58.19,2.36,Low,0.0,0.0,5.31,23.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-25,41.02,46588.04,13.13,45.85,3.81,Medium,0.0,0.0,6.51,24.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-26,45.83,46633.88,17.04,97.27,5.2,Medium,0.0,0.0,5.73,25.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-27,35.0,46668.88,12.03,67.61,5.17,Medium,1.0,3.62,2.81,26.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-28,49.17,46718.05,10.64,84.59,8.37,High,1.0,6.41,5.07,27.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-29,76.17,46794.22,11.18,50.87,6.63,Medium,3.0,5.48,5.51,28.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-30,58.02,46852.24,12.37,55.23,5.36,Medium,0.0,0.0,5.64,29.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-31,40.97,46893.22,8.44,82.03,3.88,Medium,0.0,0.0,2.22,30.0,46893.22,MINOR,0,,,NORMAL
VH-001,2024-02-01,74.04,46967.26,9.91,23.53,1.49,Low,0.0,0.0,5.04,1.0,46893.22,MINOR,0,,,NORMAL
VH-001,2024-02-02,43.97,47011.23,11.38,63.54,1.38,Low,0.0,0.0,5.96,2.0,46893.22,MINOR,0,,,NORMAL
VH-001,2024-02-03,33.36,47044.59,15.33,81.47,3.12,Low,1.0,6.93,3.8,3.0,46893.22,MINOR,0,,,NORMAL
VH-001,2024-02-04,63.78,47108.36,12.26,69.97,7.41,High,0.0,0.0,4.9,4.0,46893.22,MINOR,0,,,NORMAL
VH-001,2024-02-05,38.53,47146.9,12.32,44.51,5.4,Medium,0.0,0.0,6.71,5.0,46893.22,MINOR,0,,,NORMAL
VH-001,2024-02-06,42.85,47189.75,11.5,55.61,1.13,Low,1.0,1.71,4.29,6.0,46893.22,MINOR,0,,,NORMAL
VH-001,2024-02-07,48.56,47238.3,,73.78,5.83,Medium,0.0,0.0,8.37,7.0,46893.22,MINOR,0,,MISSING_ENGINE_HOURS,NORMAL
VH-001,2024-02-08,34.33,47272.64,8.51,52.52,2.99,Low,2.0,6.4,4.72,8.0,46893.22,MINOR,0,,,NORMAL
VH-001,2024-02-09,47.26,47319.89,12.1,58.21,4.18,Medium,0.0,0.0,2.83,9.0,46893.22,MINOR,0,,,NORMAL
VH-001,2024-02-10,61.03,47380.93,8.63,70.85,2.7,Low,4.0,3.4,6.85,10.0,46893.22,MINOR,0,,,NORMAL
VH-001,2024-02-11,47.83,47428.75,9.67,50.35,8.49,High,0.0,0.0,7.77,11.0,47428.75,EMERGENCY,0,,,NORMAL
VH-001,2024-02-12,39.92,47468.67,8.44,43.22,3.65,Medium,1.0,0.68,4.02,1.0,47428.75,EMERGENCY,0,,,NORMAL
VH-001,2024-02-13,37.36,47506.03,11.1,87.12,3.34,Medium,1.0,0.8,6.02,2.0,47428.75,EMERGENCY,0,,,NORMAL
VH-001,2024-02-14,50.36,47556.39,8.73,71.53,2.43,Low,0.0,0.0,3.75,3.0,47428.75,EMERGENCY,0,,,NORMAL
VH-001,2024-02-15,39.71,47596.1,13.9,58.79,4.98,Medium,0.0,0.0,5.13,4.0,47428.75,EMERGENCY,0,,,NORMAL
VH-001,2024-02-16,61.35,47657.45,10.22,60.0,5.44,Medium,0.0,0.0,3.58,5.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-02-17,42.72,47700.17,10.59,63.34,0.63,Low,0.0,0.0,3.03,1.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-02-18,47.06,47747.24,16.03,78.49,1.51,Low,0.0,0.0,4.43,2.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-02-19,67.17,47814.41,10.74,70.47,1.04,Low,0.0,0.0,4.55,3.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-02-20,47.13,47861.54,9.97,72.79,5.67,Medium,0.0,0.0,7.11,4.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-02-21,44.02,47905.56,10.32,54.46,4.46,Medium,0.0,0.0,2.43,5.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-02-22,48.27,47953.83,12.57,29.53,3.45,Medium,0.0,0.0,3.57,6.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-02-23,49.65,48003.48,13.86,,5.2,Medium,0.0,0.0,5.27,7.0,47657.45,EMERGENCY,0,,MISSING_LOAD,NORMAL
VH-001,2024-02-24,39.25,47765.60053514021,10.34,60.18,7.0,High,0.0,0.0,6.49,8.0,47657.45,EMERGENCY,0,,INVALID_MILEAGE,NORMAL
VH-001,2024-02-25,56.42,48099.16,11.14,72.71,3.65,Medium,0.0,0.0,1.71,9.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-02-26,42.59,48141.74,9.17,53.55,0.0,Low,0.0,0.0,6.2,10.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-02-27,34.07,48175.82,10.23,83.74,4.39,Medium,0.0,0.0,6.11,11.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-02-28,44.85,48220.67,9.86,78.52,4.47,Medium,1.0,5.77,4.92,12.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-02-29,17.63,48238.3,13.58,66.56,2.46,Low,1.0,4.56,2.67,13.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-03-01,45.7,47833.83355756983,11.9,51.21,2.22,Low,0.0,0.0,5.56,14.0,47657.45,EMERGENCY,0,,INVALID_MILEAGE,NORMAL
VH-001,2024-03-02,25.56,48309.56,13.6,79.67,4.82,Medium,0.0,0.0,1.91,15.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-03-03,56.17,48365.73,11.2,40.1,2.46,Low,0.0,0.0,7.34,16.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-03-04,32.82,48398.55,10.81,68.17,2.71,Low,1.0,2.2,8.03,17.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-03-05,52.62,48451.18,14.31,74.64,5.78,Medium,0.0,0.0,6.43,18.0,47657.45,EMERGENCY,1,ENGINE,,NORMAL
VH-001,2024-03-06,65.18,48516.36,8.44,59.66,4.67,Medium,0.0,0.0,7.66,19.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-03-07,31.88,48548.24,,68.18,7.2,High,2.0,5.28,6.0,20.0,47657.45,EMERGENCY,0,,"MISSING_ENGINE_HOURS,DUPLICATE_RECORD",NORMAL
VH-001,2024-03-08,45.53,48593.77,12.04,68.17,6.29,Medium,1.0,3.27,5.01,21.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-03-09,43.53,48637.29,8.17,73.87,5.52,Medium,0.0,0.0,6.78,22.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-03-10,49.14,48686.43,8.83,55.32,4.58,Medium,,4.15,5.58,23.0,47657.45,EMERGENCY,0,,MISSING_FAULT_INFO,NORMAL
VH-001,2024-03-11,38.07,48724.5,11.16,71.26,3.86,Medium,0.0,0.0,5.48,24.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-03-12,48.28,48772.77,11.6,61.97,5.12,Medium,0.0,0.0,3.42,25.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-03-13,45.35,48818.12,7.28,36.25,2.18,Low,1.0,0.0,4.63,26.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-03-14,35.97,48854.09,10.5,51.08,7.62,High,0.0,0.0,3.93,27.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-03-15,45.43,48899.52,15.28,62.96,8.17,High,1.0,5.87,8.08,28.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-03-16,40.66,48940.17,13.06,57.39,6.2,Medium,0.0,0.0,4.46,29.0,47657.45,EMERGENCY,0,,,NORMAL
VH-001,2024-03-17,50.1,48990.27,12.09,68.21,5.06,Medium,0.0,0.0,2.28,30.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-03-18,28.89,49019.17,12.66,57.6,4.67,Medium,0.0,0.0,4.43,1.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-03-19,45.76,49064.92,12.45,52.88,5.06,Medium,0.0,0.0,2.2,2.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-03-20,47.71,49112.63,11.27,66.45,4.06,Medium,2.0,5.39,6.49,3.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-03-21,35.0,49147.63,7.59,30.47,3.64,Medium,0.0,0.0,3.83,4.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-03-22,34.65,49182.29,10.83,83.74,3.88,Medium,0.0,0.0,5.94,5.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-03-23,37.53,49219.82,14.47,65.79,4.71,Medium,1.0,4.58,8.22,6.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-03-24,37.53,49257.35,12.81,73.96,3.0,Low,2.0,5.66,6.52,7.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-03-25,46.43,49303.78,,63.23,0.74,Low,1.0,3.31,3.85,8.0,48990.27,MINOR,0,,MISSING_ENGINE_HOURS,NORMAL
VH-001,2024-03-26,50.38,49354.16,11.47,69.14,4.04,Medium,1.0,5.49,6.84,9.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-03-27,47.54,49401.7,13.84,82.1,4.32,Medium,1.0,4.94,6.58,10.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-03-28,1.22,49402.92,11.78,24.04,5.17,Medium,0.0,0.0,2.17,11.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-03-29,39.19,49442.11,13.74,57.32,2.18,Low,2.0,4.7,8.16,12.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-03-30,41.93,49484.04,8.64,-2.464056458187553,4.28,Medium,1.0,3.79,3.99,13.0,48990.27,MINOR,0,,INVALID_LOAD,NORMAL
VH-001,2024-03-31,32.5,49516.54,9.86,77.25,4.95,Medium,1.0,5.38,6.92,14.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-04-01,49.49,49566.04,13.04,71.44,1.44,Low,1.0,3.18,5.81,15.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-04-02,60.78,49626.81,16.22,90.19,6.24,Medium,1.0,4.99,5.36,16.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-04-03,40.03,49666.84,10.01,67.11,6.15,Medium,0.0,0.0,6.24,17.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-04-04,49.55,49716.39,12.72,,5.84,Medium,0.0,0.0,3.36,18.0,48990.27,MINOR,0,,MISSING_LOAD,NORMAL
VH-001,2024-04-05,45.63,49762.01,,52.32,1.19,Low,0.0,0.0,4.23,19.0,48990.27,MINOR,0,,MISSING_ENGINE_HOURS,NORMAL
VH-001,2024-04-06,52.39,49814.41,12.47,72.74,5.18,Medium,2.0,5.03,2.08,20.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-04-07,50.82,49865.23,10.74,71.04,6.88,High,2.0,6.99,4.61,21.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-04-08,46.22,49911.45,13.53,82.61,2.59,Low,0.0,0.0,3.94,22.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-04-09,30.1,49941.55,11.93,53.67,5.59,Medium,1.0,1.86,4.79,23.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-04-10,50.34,49991.89,11.95,74.17,4.8,Medium,0.0,0.0,4.99,24.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-04-11,32.14,50024.02,11.06,58.33,6.76,High,1.0,4.46,5.94,25.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-04-12,47.72,50071.75,9.17,,4.04,Medium,3.0,5.01,6.82,26.0,48990.27,MINOR,0,,MISSING_LOAD,NORMAL
VH-001,2024-04-13,28.22,50099.97,10.67,69.66,4.62,Medium,0.0,0.0,2.84,27.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-04-14,47.16,50147.13,13.0,68.13,3.31,Low,2.0,5.65,4.03,28.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-04-15,52.18,50199.31,13.67,84.95,6.98,High,0.0,0.0,6.33,29.0,48990.27,MINOR,0,,,NORMAL
VH-001,2024-04-16,55.08,50254.39,13.61,56.08,1.79,Low,0.0,0.0,6.97,30.0,50254.39,MINOR,0,,,NORMAL
VH-001,2024-04-17,49.22,50303.62,11.53,85.01,4.66,Medium,0.0,0.0,3.83,1.0,50254.39,MINOR,1,DRIVETRAIN,,NORMAL
VH-001,2024-04-18,66.26,50001.607715756305,10.72,65.24,4.03,Medium,0.0,0.0,4.91,2.0,50254.39,MINOR,0,,INVALID_MILEAGE,NORMAL
VH-001,2024-04-19,61.58,50431.46,9.83,64.05,2.71,Low,0.0,0.0,4.66,3.0,50254.39,MINOR,0,,,NORMAL
VH-001,2024-04-20,65.63,50497.08,11.34,66.67,4.57,Medium,0.0,0.0,1.64,4.0,50254.39,MINOR,0,,,NORMAL
VH-001,2024-04-21,40.39,50537.47,12.86,78.35,4.53,Medium,1.0,6.33,6.76,5.0,50254.39,MINOR,0,,,NORMAL
VH-001,2024-04-22,45.02,50582.49,12.14,78.47,3.38,Medium,1.0,1.8,7.33,6.0,50254.39,MINOR,0,,,NORMAL
VH-001,2024-04-23,34.67,50617.16,9.03,45.39,3.99,Medium,1.0,3.57,8.54,7.0,50254.39,MINOR,0,,,NORMAL
VH-001,2024-04-24,43.98,50661.14,9.32,66.25,0.68,Low,1.0,4.37,2.33,8.0,50254.39,MINOR,0,,,NORMAL
VH-001,2024-04-25,52.59,50713.73,10.44,80.82,1.86,Low,0.0,0.0,4.98,9.0,50254.39,MINOR,0,,,NORMAL
VH-001,2024-04-26,63.38,50777.11,11.6,,5.23,Medium,0.0,0.0,6.81,10.0,50777.11,EMERGENCY,0,,MISSING_LOAD,NORMAL
VH-001,2024-04-27,32.3,50809.41,13.97,54.1,2.04,Low,0.0,0.0,2.76,1.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-04-28,36.45,50845.87,9.65,58.24,4.3,Medium,0.0,0.0,3.69,2.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-04-29,36.44,50882.3,10.79,60.66,6.27,Medium,0.0,0.0,1.26,3.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-04-30,44.47,50926.77,13.65,50.07,0.0,Low,0.0,0.0,6.44,4.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-01,38.08,50964.85,13.25,75.86,2.7,Low,1.0,1.79,5.87,5.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-02,45.32,51010.17,10.06,72.91,4.67,Medium,0.0,0.0,6.05,6.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-03,38.63,51048.8,14.57,52.98,7.05,High,1.0,1.3,6.8,7.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-04,35.44,51084.24,15.16,82.51,1.38,Low,1.0,5.33,5.42,8.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-05,46.17,51130.4,13.33,60.77,7.98,High,1.0,4.86,6.6,9.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-06,63.44,51193.85,13.16,77.75,5.82,Medium,0.0,0.0,7.53,10.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-07,64.44,51258.29,10.22,68.35,3.25,Low,0.0,0.0,5.55,11.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-08,45.73,51304.01,12.59,37.79,0.16,Low,0.0,0.0,4.77,12.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-09,39.73,51343.75,12.71,80.36,8.51,High,1.0,6.89,5.06,13.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-10,45.64,51389.39,9.07,50.64,3.18,Low,1.0,3.63,1.7,14.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-11,40.83,51430.22,6.77,86.49,2.51,Low,2.0,5.63,3.35,15.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-12,59.28,51489.5,8.71,73.64,4.09,Medium,1.0,1.19,4.01,16.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-13,43.51,51533.02,8.59,72.39,6.43,Medium,0.0,0.0,6.48,17.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-14,67.31,51600.33,12.55,72.05,6.25,Medium,2.0,3.65,6.05,18.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-15,72.72,51673.05,8.98,60.1,5.38,Medium,1.0,4.36,5.63,19.0,50777.11,EMERGENCY,1,BRAKE,,NORMAL
VH-001,2024-05-16,50.59,51723.64,15.49,73.29,1.92,Low,2.0,3.63,4.36,20.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-17,49.52,51773.17,11.29,80.93,1.03,Low,0.0,0.0,3.22,21.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-18,49.86,51823.02,12.8,45.28,6.42,Medium,0.0,0.0,2.69,22.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-19,62.68,51885.71,12.18,70.66,5.61,Medium,1.0,4.29,7.11,23.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-20,49.04,51934.74,10.16,86.73,4.69,Medium,2.0,5.86,3.96,24.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-21,51.91,51986.65,11.81,77.04,8.22,High,0.0,0.0,3.48,25.0,50777.11,EMERGENCY,1,ENGINE,,NORMAL
VH-001,2024-05-22,48.07,52034.72,12.39,59.29,3.52,Medium,1.0,3.37,5.92,26.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-23,34.77,52069.5,15.08,86.91,1.36,Low,0.0,0.0,8.35,27.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-24,49.69,52119.18,10.82,64.74,4.56,Medium,1.0,6.06,7.2,28.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-25,33.85,52153.03,11.5,79.18,5.81,Medium,1.0,4.49,4.07,29.0,50777.11,EMERGENCY,0,,,NORMAL
VH-001,2024-05-26,37.02,52190.06,13.24,49.29,0.0,Low,0.0,0.0,5.03,30.0,52190.06,MINOR,0,,,NORMAL
VH-001,2024-05-27,37.88,52227.94,12.34,90.75,9.15,High,1.0,4.54,5.33,1.0,52190.06,MINOR,0,,,NORMAL
VH-001,2024-05-28,66.42,52294.36,13.18,100.0,4.27,Medium,0.0,0.0,5.96,2.0,52190.06,MINOR,0,,,NORMAL
VH-001,2024-05-29,45.48,52339.85,13.72,74.9,2.79,Low,0.0,0.0,3.1,3.0,52190.06,MINOR,0,,,NORMAL
VH-001,2024-05-30,44.84,52384.69,13.73,69.64,0.96,Low,1.0,7.88,1.4,4.0,52190.06,MINOR,0,,,NORMAL
VH-001,2024-05-31,51.76,52436.45,13.58,,3.72,Medium,1.0,2.62,5.48,5.0,52190.06,MINOR,0,,MISSING_LOAD,NORMAL
VH-001,2024-06-01,37.6,52474.05,12.0,72.93,1.75,Low,0.0,0.0,4.87,6.0,52190.06,MINOR,0,,,NORMAL
VH-001,2024-06-02,31.2,52505.25,11.65,51.44,3.79,Medium,0.0,0.0,5.96,7.0,52190.06,MINOR,0,,,NORMAL
VH-001,2024-06-03,42.46,52547.71,13.05,87.88,3.25,Low,0.0,0.0,5.95,8.0,52190.06,MINOR,0,,,NORMAL
VH-001,2024-06-04,51.58,52599.29,11.98,69.99,8.5,High,0.0,0.0,6.89,9.0,52190.06,MINOR,0,,,NORMAL
VH-001,2024-06-05,41.22,52640.5,13.62,57.28,4.92,Medium,0.0,0.0,2.16,10.0,52640.5,EMERGENCY,0,,,NORMAL
VH-001,2024-06-06,48.71,52689.22,12.97,77.26,0.23,Low,1.0,1.63,6.27,1.0,52640.5,EMERGENCY,0,,,NORMAL
VH-001,2024-06-07,41.87,52731.09,14.03,54.05,1.13,Low,,0.0,5.91,2.0,52640.5,EMERGENCY,0,,MISSING_FAULT_INFO,NORMAL
VH-001,2024-06-08,35.36,52766.45,,64.45,7.23,High,0.0,0.0,6.19,3.0,52640.5,EMERGENCY,0,,MISSING_ENGINE_HOURS,NORMAL
VH-001,2024-06-09,28.49,52794.94,10.27,59.27,3.05,Low,0.0,0.0,3.96,4.0,52640.5,EMERGENCY,0,,,NORMAL
VH-001,2024-06-10,46.68,52841.62,10.62,65.81,6.12,Medium,1.0,3.45,4.05,5.0,52640.5,EMERGENCY,0,,,NORMAL
VH-001,2024-06-11,45.3,52886.92,8.77,78.95,4.82,Medium,1.0,1.56,4.94,6.0,52640.5,EMERGENCY,0,,,NORMAL
VH-001,2024-06-12,49.15,52936.07,7.74,83.43,4.56,Medium,0.0,0.0,7.07,7.0,52640.5,EMERGENCY,0,,,NORMAL
VH-001,2024-06-13,16.87,52952.93,8.07,66.21,3.09,Low,0.0,0.0,6.39,8.0,52640.5,EMERGENCY,0,,,NORMAL
VH-001,2024-06-14,36.25,52989.18,10.65,46.85,1.73,Low,0.0,0.0,5.21,9.0,52640.5,EMERGENCY,0,,,NORMAL
VH-001,2024-06-15,44.34,53033.52,10.45,91.67,4.98,Medium,1.0,3.87,7.11,10.0,52640.5,EMERGENCY,0,,,NORMAL
VH-001,2024-06-16,40.39,53073.91,11.16,70.93,5.52,Medium,0.0,0.0,5.69,11.0,52640.5,EMERGENCY,0,,,NORMAL
VH-001,2024-06-17,79.97,53153.88,12.06,57.83,4.66,Medium,0.0,0.0,2.38,12.0,52640.5,EMERGENCY,0,,,NORMAL
VH-001,2024-06-18,59.11,53212.99,13.02,68.7,5.65,Medium,2.0,5.88,5.54,13.0,52640.5,EMERGENCY,0,,,NORMAL
VH-001,2024-06-19,44.8,53257.79,11.29,55.54,2.06,Low,2.0,4.43,5.19,14.0,52640.5,EMERGENCY,0,,,NORMAL
VH-001,2024-06-20,52.78,53310.57,6.95,75.55,1.56,Low,1.0,6.15,2.67,15.0,52640.5,EMERGENCY,0,,,NORMAL
VH-001,2024-06-21,51.44,53362.0,13.57,60.4,3.11,Low,1.0,4.9,4.34,16.0,52640.5,EMERGENCY,0,,,NORMAL
VH-001,2024-06-22,31.8,53393.8,16.37,69.93,6.0,Medium,2.0,5.65,5.15,17.0,52640.5,EMERGENCY,0,,,NORMAL
VH-001,2024-06-23,25.82,53419.62,10.83,57.52,5.06,Medium,0.0,0.0,5.28,18.0,52640.5,EMERGENCY,0,,,NORMAL
VH-001,2024-06-24,36.29,53455.91,12.87,82.83,1.27,Low,0.0,0.0,4.53,19.0,52640.5,EMERGENCY,0,,,NORMAL
VH-001,2024-06-25,52.68,53508.59,11.04,86.43,3.42,Medium,0.0,0.0,4.4,20.0,52640.5,EMERGENCY,0,,,NORMAL
VH-001,2024-06-26,28.42,53537.01,7.98,59.98,6.25,Medium,0.0,0.0,4.43,21.0,52640.5,EMERGENCY,0,,,NORMAL
VH-001,2024-06-27,47.44,53584.45,9.52,100.0,3.57,Medium,2.0,5.19,3.66,22.0,52640.5,EMERGENCY,0,,,NORMAL
VH-001,2024-06-28,43.03,53627.49,13.64,71.9,3.59,Medium,0.0,0.0,4.21,23.0,52640.5,EMERGENCY,0,,,NORMAL
VH-001,2024-06-29,38.0,53665.48,11.25,52.81,4.27,Medium,0.0,0.0,4.16,24.0,52640.5,EMERGENCY,0,,,NORMAL
